"","age_ce","estimate","lower_ci","upper_ci"
"1",0,NA,NA,NA
"2",1,NA,NA,NA
"3",2,NA,NA,NA
"4",3,NA,NA,NA
"5",4,NA,NA,NA
"6",5,NA,NA,NA
"7",6,NA,NA,NA
"8",7,NA,NA,NA
"9",8,NA,NA,NA
"10",9,NA,NA,NA
"11",10,NA,NA,NA
"12",11,NA,NA,NA
"13",12,NA,NA,NA
"14",13,NA,NA,NA
"15",14,NA,NA,NA
"16",15,NA,NA,NA
"17",16,NA,NA,NA
"18",17,NA,NA,NA
"19",18,NA,NA,NA
"20",19,NA,NA,NA
"21",20,NA,NA,NA
"22",21,NA,NA,NA
"23",22,NA,NA,NA
"24",23,NA,NA,NA
"25",24,NA,NA,NA
"26",25,NA,NA,NA
"27",26,NA,NA,NA
"28",27,NA,NA,NA
"29",28,NA,NA,NA
"30",29,NA,NA,NA
"31",30,NA,NA,NA
"32",31,NA,NA,NA
"33",32,NA,NA,NA
"34",33,NA,NA,NA
"35",34,NA,NA,NA
"36",35,NA,NA,NA
"37",36,NA,NA,NA
"38",37,NA,NA,NA
"39",38,NA,NA,NA
"40",39,NA,NA,NA
"41",40,NA,NA,NA
"42",41,NA,NA,NA
"43",42,NA,NA,NA
"44",43,NA,NA,NA
"45",44,NA,NA,NA
"46",45,NA,NA,NA
"47",46,NA,NA,NA
"48",47,NA,NA,NA
"49",48,NA,NA,NA
"50",49,NA,NA,NA
"51",50,NA,NA,NA
"52",51,NA,NA,NA
"53",52,NA,NA,NA
"54",53,NA,NA,NA
"55",54,NA,NA,NA
"56",55,NA,NA,NA
"57",56,NA,NA,NA
"58",57,NA,NA,NA
"59",58,NA,NA,NA
"60",59,NA,NA,NA
"61",60,NA,NA,NA
"62",61,NA,NA,NA
"63",62,NA,NA,NA
"64",63,NA,NA,NA
"65",64,NA,NA,NA
"66",65,NA,NA,NA
"67",66,NA,NA,NA
"68",67,NA,NA,NA
"69",68,NA,NA,NA
"70",69,NA,NA,NA
"71",70,NA,NA,NA
"72",71,NA,NA,NA
"73",72,NA,NA,NA
"74",73,NA,NA,NA
"75",74,NA,NA,NA
"76",75,NA,NA,NA
"77",76,NA,NA,NA
"78",77,NA,NA,NA
"79",78,NA,NA,NA
"80",79,NA,NA,NA
"81",80,NA,NA,NA
"82",81,NA,NA,NA
"83",82,NA,NA,NA
"84",83,NA,NA,NA
"85",84,NA,NA,NA
"86",85,NA,NA,NA
"87",86,NA,NA,NA
"88",87,NA,NA,NA
"89",88,NA,NA,NA
"90",89,NA,NA,NA
"91",90,NA,NA,NA
"92",91,NA,NA,NA
"93",92,NA,NA,NA
"94",93,NA,NA,NA
"95",94,-0.536919184,-0.959108278,-0.11473009
"96",95,-0.535512358676461,-0.956572221877449,-0.114452495475473
"97",96,-0.534105533352922,-0.954036165754898,-0.114174900950947
"98",97,-0.532698708029384,-0.951500109632347,-0.11389730642642
"99",98,-0.531291882705845,-0.948964053509796,-0.113619711901893
"100",99,-0.529885057382306,-0.946427997387245,-0.113342117377366
"101",100,-0.528478232058767,-0.943891941264695,-0.11306452285284
"102",101,-0.527071406735228,-0.941355885142144,-0.112786928328313
"103",102,-0.52566458141169,-0.938819829019593,-0.112509333803786
"104",103,-0.524257756088151,-0.936283772897042,-0.11223173927926
"105",104,-0.522850930764612,-0.933747716774491,-0.111954144754733
"106",105,-0.521444105441073,-0.93121166065194,-0.111676550230206
"107",106,-0.520037280117534,-0.928675604529389,-0.111398955705679
"108",107,-0.518630454793995,-0.926139548406838,-0.111121361181153
"109",108,-0.517223629470457,-0.923603492284287,-0.110843766656626
"110",109,-0.515816804146918,-0.921067436161737,-0.110566172132099
"111",110,-0.514409978823379,-0.918531380039186,-0.110288577607573
"112",111,-0.51300315349984,-0.915995323916635,-0.110010983083046
"113",112,-0.511596328176302,-0.913459267794084,-0.109733388558519
"114",113,-0.510189502852763,-0.910923211671533,-0.109455794033992
"115",114,-0.50879518630409,-0.908469434665868,-0.109120937912638
"116",115,-0.507410063888551,-0.906076134018827,-0.108743993677117
"117",116,-0.506024941473011,-0.903682833371785,-0.108367049441596
"118",117,-0.504639819057472,-0.901289532724744,-0.107990105206076
"119",118,-0.503254696641933,-0.898896232077702,-0.107613160970555
"120",119,-0.501869574226393,-0.896502931430661,-0.107236216735034
"121",120,-0.500484451810854,-0.894109630783619,-0.106859272499513
"122",121,-0.499099329395314,-0.891716330136578,-0.106482328263992
"123",122,-0.497714206979775,-0.889323029489536,-0.106105384028471
"124",123,-0.496329084564236,-0.886929728842495,-0.10572843979295
"125",124,-0.494943962148696,-0.884536428195453,-0.10535149555743
"126",125,-0.493558839733157,-0.882143127548412,-0.104974551321909
"127",126,-0.492173717317618,-0.87974982690137,-0.104597607086388
"128",127,-0.490788594902078,-0.877356526254329,-0.104220662850867
"129",128,-0.489403472486539,-0.874963225607287,-0.103843718615346
"130",129,-0.488018350071,-0.872569924960246,-0.103466774379825
"131",130,-0.48663322765546,-0.870176624313204,-0.103089830144304
"132",131,-0.485248105239921,-0.867783323666163,-0.102712885908783
"133",132,-0.483862982824381,-0.865390023019121,-0.102335941673263
"134",133,-0.482484489616229,-0.863023108520622,-0.101945869719699
"135",134,-0.481142772802755,-0.86080257463088,-0.101482970033976
"136",135,-0.47980105598928,-0.858582040741139,-0.101020070348252
"137",136,-0.478459339175806,-0.856361506851398,-0.100557170662529
"138",137,-0.477117622362332,-0.854140972961656,-0.100094270976806
"139",138,-0.475775905548858,-0.851920439071915,-0.0996313712910831
"140",139,-0.474434188735384,-0.849699905182174,-0.09916847160536
"141",140,-0.47309247192191,-0.847479371292432,-0.0987055719196369
"142",141,-0.471750755108436,-0.845258837402691,-0.0982426722339138
"143",142,-0.470409038294962,-0.84303830351295,-0.0977797725481906
"144",143,-0.469067321481488,-0.840817769623208,-0.0973168728624675
"145",144,-0.467725604668014,-0.838597235733467,-0.0968539731767444
"146",145,-0.46638388785454,-0.836376701843725,-0.0963910734910213
"147",146,-0.465042171041066,-0.834156167953984,-0.0959281738052982
"148",147,-0.463700454227592,-0.831935634064243,-0.0954652741195751
"149",148,-0.462358737414118,-0.829715100174501,-0.095002374433852
"150",149,-0.461017020600644,-0.82749456628476,-0.0945394747481289
"151",150,-0.45967530378717,-0.825274032395019,-0.0940765750624058
"152",151,-0.458333586973696,-0.823053498505277,-0.0936136753766827
"153",152,-0.456991870160222,-0.820832964615536,-0.0931507756909596
"154",153,-0.455697623412995,-0.818749673905731,-0.0926455729577957
"155",154,-0.45442101516107,-0.816717378767993,-0.0921246516431664
"156",155,-0.453144406909144,-0.814685083630255,-0.0916037303285372
"157",156,-0.451867798657218,-0.812652788492516,-0.0910828090139079
"158",157,-0.450591190405293,-0.810620493354778,-0.0905618876992787
"159",158,-0.449314582153367,-0.808588198217039,-0.0900409663846494
"160",159,-0.448037973901442,-0.806555903079301,-0.0895200450700202
"161",160,-0.446761365649516,-0.804523607941563,-0.0889991237553909
"162",161,-0.44548475739759,-0.802491312803824,-0.0884782024407617
"163",162,-0.444208149145665,-0.800459017666086,-0.0879572811261324
"164",163,-0.442931540893739,-0.798426722528348,-0.0874363598115032
"165",164,-0.441654932641813,-0.796394427390609,-0.0869154384968739
"166",165,-0.440378324389888,-0.794362132252871,-0.0863945171822447
"167",166,-0.439101716137962,-0.792329837115132,-0.0858735958676154
"168",167,-0.437825107886036,-0.790297541977394,-0.0853526745529862
"169",168,-0.436548499634111,-0.788265246839656,-0.0848317532383569
"170",169,-0.435271891382185,-0.786232951701917,-0.0843108319237277
"171",170,-0.433995283130259,-0.784200656564179,-0.0837899106090984
"172",171,-0.432718674878334,-0.782168361426441,-0.0832689892944692
"173",172,-0.431468583636493,-0.780194660081869,-0.0827425081911172
"174",173,-0.430278786895543,-0.778354189576783,-0.0822033852143029
"175",174,-0.429088990154593,-0.776513719071697,-0.0816642622374887
"176",175,-0.427899193413642,-0.77467324856661,-0.0811251392606744
"177",176,-0.426709396672692,-0.772832778061524,-0.0805860162838601
"178",177,-0.425519599931742,-0.770992307556438,-0.0800468933070458
"179",178,-0.424329803190792,-0.769151837051352,-0.0795077703302315
"180",179,-0.423140006449842,-0.767311366546266,-0.0789686473534172
"181",180,-0.421950209708891,-0.76547089604118,-0.0784295243766029
"182",181,-0.420760412967941,-0.763630425536094,-0.0778904013997887
"183",182,-0.419570616226991,-0.761789955031007,-0.0773512784229744
"184",183,-0.418380819486041,-0.759949484525921,-0.0768121554461601
"185",184,-0.41719102274509,-0.758109014020835,-0.0762730324693458
"186",185,-0.41600122600414,-0.756268543515749,-0.0757339094925315
"187",186,-0.41481142926319,-0.754428073010663,-0.0751947865157172
"188",187,-0.41362163252224,-0.752587602505577,-0.074655663538903
"189",188,-0.41243183578129,-0.75074713200049,-0.0741165405620887
"190",189,-0.411242039040339,-0.748906661495404,-0.0735774175852744
"191",190,-0.410052242299389,-0.747066190990318,-0.0730382946084601
"192",191,-0.408862445558439,-0.745225720485232,-0.0724991716316458
"193",192,-0.407768820845041,-0.743554523445312,-0.0719831191993717
"194",193,-0.406688085188751,-0.741906012579478,-0.0714701587011416
"195",194,-0.405607349532461,-0.740257501713644,-0.0709571982029115
"196",195,-0.404526613876171,-0.738608990847811,-0.0704442377046814
"197",196,-0.403445878219881,-0.736960479981977,-0.0699312772064513
"198",197,-0.402365142563591,-0.735311969116143,-0.0694183167082212
"199",198,-0.401284406907301,-0.733663458250309,-0.0689053562099911
