lake,core_depth_id,age_bp,age_ce,high_profile,low_profile,motile,euplanktonic,algivore,detritivore,plantivore,predator
Azul,AZ11_02_144_8,668.5,1281.5,0.03623188,0.30676329,0.64251208,0.01449275,0.76470588,0,0,0.23529412
Azul,AZ11_02_143_8,667.5,1282.5,0.08333333,0.42647059,0.4754902,0.01470588,0,0,0,1
Azul,AZ11_02_142_8,666.6,1283.4,0.05365854,0.5097561,0.41219512,0.02439024,0.66666667,0,0,0.33333333
Azul,AZ11_02_141_8,665.7,1284.3,0.08292683,0.4,0.50243902,0.01463415,0.66666667,0,0,0.33333333
Azul,AZ11_02_140_8,664.8,1285.2,0.10864198,0.4691358,0.41975309,0.00246914,0.875,0,0,0.125
Azul,AZ11_02_139_8,663.9,1286.1,0.08029197,0.37469586,0.53041363,0.01459854,1,0,0,0
Azul,AZ11_02_138_8,663,1287,0.07178218,0.40346535,0.51485149,0.00990099,0.61111111,0,0,0.38888889
Azul,AZ11_02_136_8,661.2,1288.8,0.1622276,0.49636804,0.33898305,0.00242131,1,0,0,0
Azul,AZ11_02_135_8,660.3,1289.7,0.07524272,0.32281553,0.58737864,0.01456311,1,0,0,0
Azul,AZ11_02_134_8,659.4,1290.6,0.23114355,0.26520681,0.47688564,0.02676399,1,0,0,0
Azul,AZ11_02_133_8,658.4,1291.6,0.07228916,0.29638554,0.61686747,0.01445783,0.5,0.25,0,0.25
Azul,AZ11_02_132_8,657.5,1292.5,0.03931204,0.27518428,0.66339066,0.02211302,0.88235294,0.05882353,0,0.05882353
Azul,AZ11_02_131_8,656.6,1293.4,0.06746988,0.27228916,0.64578313,0.01445783,0.76923077,0,0.1025641,0.12820513
Azul,AZ11_02_130_8,655.7,1294.3,0.0097561,0.18292683,0.79512195,0.01219512,0.8,0.075,0.025,0.1
Azul,AZ11_02_129_8,654.8,1295.2,0.06506024,0.24819277,0.6746988,0.01204819,0.71428571,0.07142857,0.21428571,0
Azul,AZ11_02_128_8,653.9,1296.1,0.04739336,0.36966825,0.56161137,0.02132701,0.93548387,0,0.03225806,0.03225806
Azul,AZ11_02_127_8,653,1297,0.06235012,0.22781775,0.69784173,0.01199041,0.33333333,0.66666667,0,0
Azul,AZ11_02_126_8,652.1,1297.9,0.00455581,0.0501139,0.94305239,0.0022779,0.90322581,0,0.09677419,0
Azul,AZ11_02_125_8,651.2,1298.8,0.05980861,0.20813397,0.72009569,0.01196172,0.88,0.04,0.04,0.04
Azul,AZ11_02_124_8,650.3,1299.7,0.06413302,0.17339667,0.75296912,0.00950119,0.81481481,0.03703704,0.03703704,0.11111111
Azul,AZ11_02_123_8,649.3,1300.7,0.05741627,0.19138756,0.73923445,0.01196172,0.82142857,0.07142857,0,0.10714286
Azul,AZ11_02_122_8,648.43,1301.57,0.04589372,0.08695652,0.85024155,0.01690821,0.75,0.05,0,0.2
Azul,AZ11_02_121_8,638.73,1311.27,0.02380952,0.12142857,0.85,0.0047619,0.72,0.04,0.04,0.2
Azul,AZ11_02_120_8,629.01,1320.99,0.06904762,0.15,0.77380952,0.00714286,0.89285714,0,0.03571429,0.07142857
Azul,AZ11_02_119_8,619.25,1330.75,0.23614458,0.33012048,0.41204819,0.02168675,0.87179487,0.05128205,0.05128205,0.02564103
Azul,AZ11_02_118_8,609.43,1340.57,0.26558891,0.32332564,0.39030023,0.02078522,0.72727273,0.11363636,0.11363636,0.04545455
Azul,AZ11_02_117_8,599.52,1350.48,0.2240566,0.23820755,0.5259434,0.01179245,0.82857143,0.11428571,0.05714286,0
Azul,AZ11_02_116_8,589.5,1360.5,0.21361502,0.17370892,0.61267606,0,0.86206897,0,0.03448276,0.10344828
Azul,AZ11_02_115_8,579.35,1370.65,0.08009709,0.16747573,0.75,0.00242718,0.81818182,0,0,0.18181818
Azul,AZ11_02_114_8,569.05,1380.95,0.49160671,0.11990408,0.38129496,0.00719424,1,0,0,0
Azul,AZ11_02_113_8,565.26,1384.74,0.32048193,0.14939759,0.52289157,0.00722892,1,0,0,0
Azul,AZ11_02_112_8,558.57,1391.43,0.32850242,0.16425121,0.49758454,0.00966184,1,0,0,0
Azul,AZ11_02_111_8,547.89,1402.11,0.2826087,0.1884058,0.51932367,0.00966184,0.66666667,0,0.16666667,0.16666667
Azul,AZ11_02_110_8,537,1413,0.2591687,0.20293399,0.5207824,0.01711491,1,0,0,0
Azul,AZ11_02_109_8,525.86,1424.14,0.07126437,0.25977011,0.66206897,0.00689655,0.91666667,0.04166667,0.04166667,0
Azul,AZ11_02_108_8,514.46,1435.54,0.08312958,0.5403423,0.37163814,0.00488998,1,0,0,0
Azul,AZ11_02_107_8,502.77,1447.23,0.07565012,0.36170213,0.55319149,0.00945626,0.72222222,0.05555556,0.05555556,0.16666667
Azul,AZ11_02_106_8,490.78,1459.22,0.06088993,0.28337237,0.64168618,0.01405152,0.7,0.05,0.1,0.15
Azul,AZ11_02_105_8,478.45,1471.55,0.18561485,0.27146172,0.53364269,0.00928074,0.74545455,0.03636364,0.05454545,0.16363636
Azul,AZ11_02_104_8,465.78,1484.22,0.37070938,0.17162471,0.45537757,0.00228833,0.80434783,0.04347826,0,0.15217391
Azul,AZ11_02_103_8,452.73,1497.27,0.22093023,0.27209302,0.49302326,0.01395349,0.91304348,0,0,0.08695652
Azul,AZ11_02_102_8,439.28,1510.72,0.47931873,0.11922141,0.39902676,0.00243309,0.71428571,0.05714286,0.11428571,0.11428571
Azul,AZ11_02_101_8,425.42,1524.58,0.5012285,0.16461916,0.32923833,0.004914,0.8358209,0.02985075,0.01492537,0.11940299
Azul,AZ11_02_100_8,411.11,1538.89,0.37558685,0.23474178,0.38262911,0.00704225,0.91176471,0,0,0.08823529
Azul,AZ11_02_99_8,396.34,1553.66,0.33333333,0.27477477,0.38738739,0.0045045,0.75,0,0,0.25
Azul,AZ11_02_98_8,381.09,1568.91,0.20740741,0.22469136,0.5654321,0.00246914,0.71428571,0,0.14285714,0.14285714
Azul,AZ11_02_97_8,365.33,1584.67,0.23600973,0.25547445,0.50121655,0.00729927,0.7,0,0,0.3
Azul,AZ11_02_96_8,349.07,1600.93,0.47783251,0.16748768,0.34975369,0.00492611,0.66666667,0,0,0.33333333
Azul,AZ11_02_95_8,332.41,1617.59,0.52516411,0.26039387,0.18599562,0.02844639,0.75,0,0,0.25
Azul,AZ11_02_94_8,315.48,1634.52,0.45742092,0.26277372,0.1946472,0.08515815,0.75,0,0,0.25
Azul,AZ11_02_93_8,298.41,1651.59,0.55662651,0.21686747,0.21927711,0.00722892,1,0,0,0
Azul,AZ11_02_92_8,296.86,1653.14,0.56157635,0.18719212,0.2364532,0.01477833,0.65714286,0,0.22857143,0.11428571
Azul,AZ11_02_91_8,281.34,1668.66,0.49406176,0.29928741,0.19002375,0.01662708,0.73333333,0,0.1,0.16666667
Azul,AZ11_02_90_8,264.39,1685.61,0.4009901,0.48762376,0.0990099,0.01237624,0.75,0,0.07692308,0.17307692
Azul,AZ11_02_89_8,247.69,1702.31,0.53125,0.29567308,0.15865385,0.01442308,0.88,0,0.04,0.08
Azul,AZ11_02_88_8,246.18,1703.82,0.56091954,0.13563218,0.30114943,0.00229885,0.77966102,0,0.05084746,0.16949153
Azul,AZ11_02_87_8,231.37,1718.63,0.5248227,0.26004728,0.21040189,0.00472813,0.85416667,0,0.02083333,0.125
Azul,AZ11_02_86_8,215.57,1734.43,0.51658768,0.29383886,0.18246445,0.007109,0.84210526,0,0.05263158,0.10526316
Azul,AZ11_02_85_8,200.41,1749.59,0.46746988,0.29156627,0.21204819,0.02891566,0.92307692,0,0,0.07692308
Azul,AZ11_02_84_8,186.02,1763.98,0.37931034,0.39162562,0.21428571,0.01477833,0.9,0,0,0.1
Azul,AZ11_02_83_8,176.43,1773.57,0.45060241,0.24578313,0.22891566,0.0746988,0.75,0,0,0.25
Azul,AZ11_02_82_8,176.24,1773.76,0.5207824,0.20782396,0.22249389,0.04889976,0.8,0,0,0.2
Azul,AZ11_02_81_8,176.06,1773.94,0.44776119,0.19900498,0.30348259,0.04975124,0.83333333,0,0.04166667,0.125
Azul,AZ11_02_80_8,175.88,1774.12,0.4,0.18588235,0.31764706,0.09647059,1,0,0,0
Azul,AZ11_02_79_8,175.7,1774.3,0.3923445,0.29425837,0.20334928,0.11004785,1,0,0,0
Azul,AZ11_02_78_8,175.52,1774.48,0.55474453,0.14355231,0.28223844,0.01946472,1,0,0,0
Azul,AZ11_02_76_8,175.16,1774.84,0.43382353,0.26960784,0.1495098,0.14705882,0,0,1,0
Azul,AZ11_02_75_8,162.49,1787.51,0.49534884,0.23953488,0.15348837,0.11162791,0.68421053,0.05263158,0.10526316,0.15789474
Azul,AZ11_02_74_8,150.96,1799.04,0.37317073,0.27317073,0.32682927,0.02682927,0.81102362,0,0.03149606,0.15748031
Azul,AZ11_02_73_8,140.71,1809.29,0.50564334,0.28893905,0.16704289,0.03837472,0.80357143,0,0.07142857,0.125
Azul,AZ11_02_72_8,131.81,1818.19,0.53900709,0.23877069,0.17257683,0.04964539,0.75,0.01666667,0.21666667,0.01666667
Azul,AZ11_02_71_8,124.19,1825.81,0.4136253,0.41119221,0.15085158,0.0243309,0.82758621,0.03448276,0.13793103,0
Azul,AZ11_02_70_8,117.73,1832.27,0.40174672,0.44759825,0.12227074,0.02838428,0.85714286,0.04761905,0.04761905,0.04761905
Azul,AZ11_02_69_8,112.32,1837.68,0.40289256,0.42975207,0.13636364,0.03099174,0.78947368,0.05263158,0.15789474,0
Azul,AZ11_02_68_8,107.83,1842.17,0.38424821,0.38424821,0.20763723,0.02386635,1,0,0,0
Azul,AZ11_02_67_8,104.16,1845.84,0.45696721,0.35655738,0.1557377,0.0307377,0.9,0,0.1,0
Azul,AZ11_02_66_8,101.17,1848.83,0.31910112,0.42247191,0.19101124,0.06741573,0.5,0.33333333,0.16666667,0
Azul,AZ11_02_65_8,98.76,1851.24,0.40334129,0.29594272,0.24821002,0.05250597,0.90909091,0.09090909,0,0
Azul,AZ11_02_64_8,96.8,1853.2,0.36029412,0.32598039,0.25490196,0.05882353,0.85714286,0.07142857,0,0.07142857
Azul,AZ11_02_63_8,95.18,1854.82,0.37677725,0.27488152,0.25829384,0.09004739,0.86666667,0.13333333,0,0
Azul,AZ11_02_62_8,93.77,1856.23,0.35294118,0.30042017,0.27310924,0.07352941,0.84615385,0.07692308,0.07692308,0
Azul,AZ11_02_61_8,92.47,1857.53,0.42657343,0.25641026,0.24009324,0.07692308,0.8,0.1,0.1,0
Azul,AZ11_02_60_8,91.15,1858.85,0.19904077,0.13189448,0.06235012,0.60671463,0.54545455,0.18181818,0.22727273,0.04545455
Azul,AZ11_02_59_8,89.69,1860.31,0.486618,0.26034063,0.18978102,0.06326034,0.875,0.125,0,0
Azul,AZ11_02_58_8,87.98,1862.02,0.44418052,0.27315914,0.21852732,0.06413302,0.7,0.2,0.1,0
Azul,AZ11_02_57_8,85.9,1864.1,0.49324324,0.18468468,0.24774775,0.07432432,1,0,0,0
Azul,AZ11_02_56_8,83.41,1866.59,0.39740821,0.31101512,0.22894168,0.06263499,0.75,0.125,0.125,0
Azul,AZ11_02_55_8,80.49,1869.51,0.53546911,0.22196796,0.1624714,0.08009153,0.66666667,0.33333333,0,0
Azul,AZ11_02_54_8,77.15,1872.85,0.40092166,0.34562212,0.19815668,0.05529954,0.5,0.25,0.25,0
Azul,AZ11_02_53_8,73.44,1876.56,0.46875,0.30357143,0.15401786,0.07366071,0.5,0,0.5,0
Azul,AZ11_02_52_8,69.4,1880.6,0.43971631,0.27659574,0.13711584,0.1465721,0.69230769,0,0.30769231,0
Azul,AZ11_02_51_8,65.1,1884.9,0.52115813,0.23830735,0.13140312,0.1091314,0,0,1,0
Azul,AZ11_02_50_8,60.59,1889.41,0.55075594,0.18358531,0.12311015,0.1425486,0.45454545,0,0.54545455,0
Azul,AZ11_02_49_8,55.91,1894.09,0.33940774,0.16628702,0.08883827,0.40546697,0.45454545,0,0.54545455,0
