,.smooth,.type,.by,.estimate,.se,age,sitename,.lower_ci,.upper_ci
1,s(age),TPRS,NA,0.647635959,0.120138981,-66.94,NA,0.412167884,0.883104034
2,s(age),TPRS,NA,0.639225489,0.111434302,-47.51636364,NA,0.42081827,0.857632707
3,s(age),TPRS,NA,0.630915206,0.104334605,-28.09272727,NA,0.426423139,0.835407273
4,s(age),TPRS,NA,0.622893871,0.098836848,-8.669090909,NA,0.429177209,0.816610533
5,s(age),TPRS,NA,0.615354227,0.094580605,10.75454545,NA,0.429979647,0.800728807
6,s(age),TPRS,NA,0.608346592,0.091192542,30.17818182,NA,0.429612494,0.787080689
7,s(age),TPRS,NA,0.601619281,0.088440726,49.60181818,NA,0.428278643,0.774959919
8,s(age),TPRS,NA,0.594621522,0.086122728,69.02545455,NA,0.425824076,0.763418968
9,s(age),TPRS,NA,0.586698799,0.084061956,88.44909091,NA,0.421940392,0.751457206
10,s(age),TPRS,NA,0.577318964,0.082189926,107.8727273,NA,0.41622967,0.738408259
11,s(age),TPRS,NA,0.566240429,0.080473819,127.2963636,NA,0.408514642,0.723966216
12,s(age),TPRS,NA,0.553539979,0.078860455,146.72,NA,0.398976329,0.70810363
13,s(age),TPRS,NA,0.539455723,0.077305362,166.1436364,NA,0.387939997,0.690971449
14,s(age),TPRS,NA,0.524154791,0.075764612,185.5672727,NA,0.37565888,0.672650702
15,s(age),TPRS,NA,0.507495149,0.074239521,204.9909091,NA,0.361988361,0.653001937
16,s(age),TPRS,NA,0.489095812,0.072698496,224.4145455,NA,0.346609377,0.631582246
17,s(age),TPRS,NA,0.46841936,0.071129579,243.8381818,NA,0.329007947,0.607830773
18,s(age),TPRS,NA,0.444875725,0.069588987,263.2618182,NA,0.308483816,0.581267634
19,s(age),TPRS,NA,0.418016703,0.068086243,282.6854545,NA,0.284570118,0.551463287
20,s(age),TPRS,NA,0.387735151,0.066611892,302.1090909,NA,0.257178242,0.51829206
21,s(age),TPRS,NA,0.354339445,0.065199009,321.5327273,NA,0.226551735,0.482127155
22,s(age),TPRS,NA,0.318382718,0.063844312,340.9563636,NA,0.193250167,0.443515269
23,s(age),TPRS,NA,0.280463116,0.062528274,360.38,NA,0.157909951,0.403016281
24,s(age),TPRS,NA,0.241118085,0.061270969,379.8036364,NA,0.121029192,0.361206978
25,s(age),TPRS,NA,0.200793661,0.060076115,399.2272727,NA,0.08304664,0.318540683
26,s(age),TPRS,NA,0.159871348,0.058942146,418.6509091,NA,0.044346864,0.275395831
27,s(age),TPRS,NA,0.118740615,0.057874918,438.0745455,NA,0.005307859,0.23217337
28,s(age),TPRS,NA,0.077854091,0.056873111,457.4981818,NA,-0.033615158,0.18932334
29,s(age),TPRS,NA,0.037708205,0.055918793,476.9218182,NA,-0.071890616,0.147307026
30,s(age),TPRS,NA,-0.001324644,0.055015811,496.3454545,NA,-0.109153652,0.106504365
31,s(age),TPRS,NA,-0.039135098,0.054209385,515.7690909,NA,-0.14538354,0.067113344
32,s(age),TPRS,NA,-0.075877758,0.053485835,535.1927273,NA,-0.180708069,0.028952553
33,s(age),TPRS,NA,-0.112015129,0.052854608,554.6163636,NA,-0.215608258,-0.008422001
34,s(age),TPRS,NA,-0.148083254,0.052366967,574.04,NA,-0.250720624,-0.045445884
35,s(age),TPRS,NA,-0.184364663,0.052068273,593.4636364,NA,-0.286416603,-0.082312723
36,s(age),TPRS,NA,-0.220559148,0.051943359,612.8872727,NA,-0.322366261,-0.118752035
37,s(age),TPRS,NA,-0.255686645,0.052001546,632.3109091,NA,-0.357607803,-0.153765487
38,s(age),TPRS,NA,-0.288161049,0.052329568,651.7345455,NA,-0.390725117,-0.18559698
39,s(age),TPRS,NA,-0.316311367,0.052889303,671.1581818,NA,-0.419972496,-0.212650239
40,s(age),TPRS,NA,-0.339179301,0.053617245,690.5818182,NA,-0.444267171,-0.234091431
41,s(age),TPRS,NA,-0.356973596,0.054549873,710.0054545,NA,-0.463889384,-0.250057809
42,s(age),TPRS,NA,-0.370600752,0.055686132,729.4290909,NA,-0.479743566,-0.261457938
43,s(age),TPRS,NA,-0.381185222,0.056950826,748.8527273,NA,-0.49280679,-0.269563654
44,s(age),TPRS,NA,-0.389851405,0.058297393,768.2763636,NA,-0.504112195,-0.275590615
45,s(age),TPRS,NA,-0.397379829,0.059755463,787.7,NA,-0.514498384,-0.280261274
46,s(age),TPRS,NA,-0.404094326,0.061348384,807.1236364,NA,-0.524334951,-0.283853702
47,s(age),TPRS,NA,-0.409978195,0.063003302,826.5472727,NA,-0.533462397,-0.286493993
48,s(age),TPRS,NA,-0.414732341,0.064681622,845.9709091,NA,-0.54150599,-0.287958692
49,s(age),TPRS,NA,-0.417987634,0.066381138,865.3945455,NA,-0.548092273,-0.287882995
50,s(age),TPRS,NA,-0.419484234,0.068072887,884.8181818,NA,-0.552904641,-0.286063827
51,s(age),TPRS,NA,-0.419105294,0.069716454,904.2418182,NA,-0.555747032,-0.282463555
52,s(age),TPRS,NA,-0.41691674,0.071340318,923.6654545,NA,-0.556741194,-0.277092286
53,s(age),TPRS,NA,-0.413119382,0.072977009,943.0890909,NA,-0.556151692,-0.270087072
54,s(age),TPRS,NA,-0.408005975,0.074634504,962.5127273,NA,-0.554286915,-0.261725035
55,s(age),TPRS,NA,-0.401962459,0.076339002,981.9363636,NA,-0.551584154,-0.252340764
56,s(age),TPRS,NA,-0.395400603,0.078109452,1001.36,NA,-0.548492315,-0.242308891
57,s(age),TPRS,NA,-0.388729936,0.079945806,1020.783636,NA,-0.545420837,-0.232039036
58,s(age),TPRS,NA,-0.382302967,0.081820511,1040.207273,NA,-0.542668221,-0.221937712
59,s(age),TPRS,NA,-0.376398917,0.08372122,1059.630909,NA,-0.540489493,-0.21230834
60,s(age),TPRS,NA,-0.371203295,0.085668409,1079.054545,NA,-0.539110292,-0.203296299
61,s(age),TPRS,NA,-0.366854158,0.087609881,1098.478182,NA,-0.538566369,-0.195141946
62,s(age),TPRS,NA,-0.363426544,0.089496859,1117.901818,NA,-0.538837165,-0.188015923
63,s(age),TPRS,NA,-0.360927792,0.091357106,1137.325455,NA,-0.53998443,-0.181871154
64,s(age),TPRS,NA,-0.359325241,0.093217276,1156.749091,NA,-0.542027744,-0.176622738
65,s(age),TPRS,NA,-0.358564891,0.095082068,1176.172727,NA,-0.54492232,-0.172207461
66,s(age),TPRS,NA,-0.35858324,0.096956366,1195.596364,NA,-0.548614225,-0.168552255
67,s(age),TPRS,NA,-0.359338193,0.098857924,1215.02,NA,-0.553096164,-0.165580222
68,s(age),TPRS,NA,-0.360833587,0.10083374,1234.443636,NA,-0.558464085,-0.163203088
69,s(age),TPRS,NA,-0.363105549,0.102890576,1253.867273,NA,-0.564767373,-0.161443725
70,s(age),TPRS,NA,-0.366230737,0.105026392,1273.290909,NA,-0.572078682,-0.160382792
71,s(age),TPRS,NA,-0.370279527,0.107203828,1292.714545,NA,-0.58039517,-0.160163885
72,s(age),TPRS,NA,-0.375229038,0.109410136,1312.138182,NA,-0.589668964,-0.160789112
73,s(age),TPRS,NA,-0.380929265,0.111621897,1331.561818,NA,-0.599704163,-0.162154367
74,s(age),TPRS,NA,-0.387045242,0.113805774,1350.985455,NA,-0.610100461,-0.163990024
75,s(age),TPRS,NA,-0.392977827,0.115991091,1370.409091,NA,-0.620316187,-0.165639466
76,s(age),TPRS,NA,-0.398080363,0.118174503,1389.832727,NA,-0.629698133,-0.166462594
77,s(age),TPRS,NA,-0.401651849,0.120342504,1409.256364,NA,-0.637518822,-0.165784876
78,s(age),TPRS,NA,-0.403013414,0.122498865,1428.68,NA,-0.643106777,-0.16292005
79,s(age),TPRS,NA,-0.40161695,0.124650133,1448.103636,NA,-0.645926722,-0.157307178
80,s(age),TPRS,NA,-0.397187826,0.126769853,1467.527273,NA,-0.645652172,-0.14872348
81,s(age),TPRS,NA,-0.389921173,0.12886635,1486.950909,NA,-0.642494578,-0.137347767
82,s(age),TPRS,NA,-0.38044603,0.1309841,1506.374545,NA,-0.637170149,-0.123721911
83,s(age),TPRS,NA,-0.369645053,0.133136329,1525.798182,NA,-0.630587464,-0.108702642
84,s(age),TPRS,NA,-0.358561046,0.135291084,1545.221818,NA,-0.623726697,-0.093395395
85,s(age),TPRS,NA,-0.348281965,0.137433058,1564.645455,NA,-0.617645809,-0.078918121
86,s(age),TPRS,NA,-0.339696278,0.139619958,1584.069091,NA,-0.613346367,-0.066046188
87,s(age),TPRS,NA,-0.333519518,0.141926462,1603.492727,NA,-0.611690272,-0.055348765
88,s(age),TPRS,NA,-0.330309085,0.144394975,1622.916364,NA,-0.613318036,-0.047300134
89,s(age),TPRS,NA,-0.330468469,0.147051457,1642.34,NA,-0.618684028,-0.04225291
90,s(age),TPRS,NA,-0.334393412,0.149910652,1661.763636,NA,-0.628212891,-0.040573933
91,s(age),TPRS,NA,-0.34231593,0.153069773,1681.187273,NA,-0.642327173,-0.042304688
92,s(age),TPRS,NA,-0.354070856,0.156728538,1700.610909,NA,-0.661253146,-0.046888566
93,s(age),TPRS,NA,-0.369349155,0.161014497,1720.034545,NA,-0.68493177,-0.053766541
94,s(age),TPRS,NA,-0.387730017,0.165951069,1739.458182,NA,-0.712988135,-0.062471899
95,s(age),TPRS,NA,-0.408721833,0.171577835,1758.881818,NA,-0.74500821,-0.072435457
96,s(age),TPRS,NA,-0.431832013,0.178026143,1778.305455,NA,-0.780756841,-0.082907186
97,s(age),TPRS,NA,-0.456628387,0.185515151,1797.729091,NA,-0.820231402,-0.093025372
98,s(age),TPRS,NA,-0.482689406,0.194224405,1817.152727,NA,-0.863362244,-0.102016567
99,s(age),TPRS,NA,-0.509593521,0.204215654,1836.576364,NA,-0.909848847,-0.109338195
100,s(age),TPRS,NA,-0.536919184,0.215406557,1856,NA,-0.959108278,-0.11473009
101,s(age):sitenameAzul,TPRS,sitename,-0.227432575,0.195761134,-66.94,Azul,-0.611117347,0.156252196
102,s(age):sitenameAzul,TPRS,sitename,-0.20432626,0.18733327,-47.51636364,Azul,-0.571492722,0.162840202
103,s(age):sitenameAzul,TPRS,sitename,-0.136666048,0.164977469,-28.09272727,Azul,-0.460015945,0.186683849
104,s(age):sitenameAzul,TPRS,sitename,-0.046836031,0.142594438,-8.669090909,Azul,-0.326315994,0.232643932
105,s(age):sitenameAzul,TPRS,sitename,0.042172648,0.131501035,10.75454545,Azul,-0.215564644,0.29990994
106,s(age):sitenameAzul,TPRS,sitename,0.094793008,0.130170297,30.17818182,Azul,-0.160336087,0.349922102
107,s(age):sitenameAzul,TPRS,sitename,0.083607637,0.128273187,49.60181818,Azul,-0.16780319,0.335018464
108,s(age):sitenameAzul,TPRS,sitename,0.028793808,0.126161121,69.02545455,Azul,-0.218477446,0.276065062
109,s(age):sitenameAzul,TPRS,sitename,-0.071824596,0.125305176,88.44909091,Azul,-0.317418228,0.173769037
110,s(age):sitenameAzul,TPRS,sitename,-0.202973777,0.125978364,107.8727273,Azul,-0.449886833,0.043939279
111,s(age):sitenameAzul,TPRS,sitename,-0.342028957,0.126178465,127.2963636,Azul,-0.589334204,-0.094723709
112,s(age):sitenameAzul,TPRS,sitename,-0.469476489,0.125226864,146.72,Azul,-0.714916633,-0.224036345
113,s(age):sitenameAzul,TPRS,sitename,-0.576294078,0.124589813,166.1436364,Azul,-0.820485625,-0.332102531
114,s(age):sitenameAzul,TPRS,sitename,-0.635544239,0.122974259,185.5672727,Azul,-0.876569357,-0.394519121
115,s(age):sitenameAzul,TPRS,sitename,-0.668093612,0.122653385,204.9909091,Azul,-0.908489829,-0.427697395
116,s(age):sitenameAzul,TPRS,sitename,-0.670528176,0.122408616,224.4145455,Azul,-0.910444655,-0.430611698
117,s(age):sitenameAzul,TPRS,sitename,-0.640896184,0.120873402,243.8381818,Azul,-0.877803698,-0.403988669
118,s(age):sitenameAzul,TPRS,sitename,-0.593071536,0.119405506,263.2618182,Azul,-0.827102028,-0.359041044
119,s(age):sitenameAzul,TPRS,sitename,-0.536706104,0.118986865,282.6854545,Azul,-0.769916074,-0.303496134
120,s(age):sitenameAzul,TPRS,sitename,-0.476796672,0.12027458,302.1090909,Azul,-0.712530517,-0.241062828
121,s(age):sitenameAzul,TPRS,sitename,-0.423341137,0.123390748,321.5327273,Azul,-0.665182559,-0.181499715
122,s(age):sitenameAzul,TPRS,sitename,-0.381251742,0.126503534,340.9563636,Azul,-0.629194113,-0.133309372
123,s(age):sitenameAzul,TPRS,sitename,-0.354237412,0.127184121,360.38,Azul,-0.603513709,-0.104961116
124,s(age):sitenameAzul,TPRS,sitename,-0.335214318,0.127227655,379.8036364,Azul,-0.584575939,-0.085852697
125,s(age):sitenameAzul,TPRS,sitename,-0.322749364,0.126945306,399.2272727,Azul,-0.571557591,-0.073941137
126,s(age):sitenameAzul,TPRS,sitename,-0.314470267,0.126691899,418.6509091,Azul,-0.562781826,-0.066158708
127,s(age):sitenameAzul,TPRS,sitename,-0.306992769,0.126682223,438.0745455,Azul,-0.555285363,-0.058700176
128,s(age):sitenameAzul,TPRS,sitename,-0.296445361,0.126202788,457.4981818,Azul,-0.543798279,-0.049092442
129,s(age):sitenameAzul,TPRS,sitename,-0.281423062,0.125007864,476.9218182,Azul,-0.526433974,-0.03641215
130,s(age):sitenameAzul,TPRS,sitename,-0.262378107,0.122726172,496.3454545,Azul,-0.502916985,-0.02183923
131,s(age):sitenameAzul,TPRS,sitename,-0.24290844,0.122249541,515.7690909,Azul,-0.482513137,-0.003303743
132,s(age):sitenameAzul,TPRS,sitename,-0.228282211,0.121614702,535.1927273,Azul,-0.466642646,0.010078224
133,s(age):sitenameAzul,TPRS,sitename,-0.221440507,0.12169667,554.6163636,Azul,-0.459961598,0.017080583
134,s(age):sitenameAzul,TPRS,sitename,-0.228556828,0.121085428,574.04,Azul,-0.465879905,0.00876625
135,s(age):sitenameAzul,TPRS,sitename,-0.249896627,0.12030911,593.4636364,Azul,-0.48569815,-0.014095104
136,s(age):sitenameAzul,TPRS,sitename,-0.282794066,0.119185736,612.8872727,Azul,-0.516393816,-0.049194316
137,s(age):sitenameAzul,TPRS,sitename,-0.326127145,0.114929227,632.3109091,Azul,-0.551384292,-0.100869998
138,s(age):sitenameAzul,TPRS,sitename,-0.369941675,0.11177268,651.7345455,Azul,-0.589012103,-0.150871247
139,s(age):sitenameAzul,TPRS,sitename,-0.399106591,0.109555712,671.1581818,Azul,-0.613831841,-0.184381341
140,s(age):sitenameAzul,TPRS,sitename,-0.398346139,0.121325559,690.5818182,Azul,-0.636139865,-0.160552414
141,s(age):sitenameAzul,TPRS,sitename,-0.377114399,0.15375212,710.0054545,Azul,-0.678463016,-0.075765782
142,s(age):sitenameAzul,TPRS,sitename,-0.344708264,0.195257716,729.4290909,Azul,-0.727406354,0.037989826
143,s(age):sitenameAzul,TPRS,sitename,-0.296628763,0.234277098,748.8527273,Azul,-0.755803438,0.162545911
144,s(age):sitenameAzul,TPRS,sitename,-0.23409141,0.262741343,768.2763636,Azul,-0.749054979,0.280872159
145,s(age):sitenameAzul,TPRS,sitename,-0.159740586,0.282841954,787.7,Azul,-0.714100628,0.394619457
146,s(age):sitenameAzul,TPRS,sitename,-0.081925672,0.303261273,807.1236364,Azul,-0.676306845,0.512455501
147,s(age):sitenameAzul,TPRS,sitename,-0.007066381,0.316700008,826.5472727,Azul,-0.627786991,0.61365423
148,s(age):sitenameAzul,TPRS,sitename,0.059113387,0.322518093,845.9709091,Azul,-0.573010458,0.691237233
149,s(age):sitenameAzul,TPRS,sitename,0.117018385,0.32549471,865.3945455,Azul,-0.520939524,0.754976293
150,s(age):sitenameAzul,TPRS,sitename,0.16897214,0.329169761,884.8181818,Azul,-0.476188736,0.814133017
151,s(age):sitenameAzul,TPRS,sitename,0.214060859,0.330490076,904.2418182,Azul,-0.433687786,0.861809504
152,s(age):sitenameAzul,TPRS,sitename,0.255162245,0.334026796,923.6654545,Azul,-0.399518246,0.909842736
153,s(age):sitenameAzul,TPRS,sitename,0.294059749,0.3412326,943.0890909,Azul,-0.374743859,0.962863356
154,s(age):sitenameAzul,TPRS,sitename,0.329980105,0.347149694,962.5127273,Azul,-0.350420793,1.010381002
155,s(age):sitenameAzul,TPRS,sitename,0.365468086,0.353687012,981.9363636,Azul,-0.327745719,1.058681892
156,s(age):sitenameAzul,TPRS,sitename,0.400759909,0.356880005,1001.36,Azul,-0.298712047,1.100231865
157,s(age):sitenameAzul,TPRS,sitename,0.436942861,0.357249783,1020.783636,Azul,-0.263253848,1.137139571
158,s(age):sitenameAzul,TPRS,sitename,0.473840048,0.358673528,1040.207273,Azul,-0.22914715,1.176827245
159,s(age):sitenameAzul,TPRS,sitename,0.511612106,0.358409777,1059.630909,Azul,-0.190858148,1.214082361
160,s(age):sitenameAzul,TPRS,sitename,0.549468616,0.364919088,1079.054545,Azul,-0.165759654,1.264696887
161,s(age):sitenameAzul,TPRS,sitename,0.5866781,0.372490594,1098.478182,Azul,-0.143390049,1.316746248
162,s(age):sitenameAzul,TPRS,sitename,0.622114141,0.377963623,1117.901818,Azul,-0.118680948,1.362909229
163,s(age):sitenameAzul,TPRS,sitename,0.656150296,0.385040807,1137.325455,Azul,-0.098515819,1.41081641
164,s(age):sitenameAzul,TPRS,sitename,0.687723901,0.391906794,1156.749091,Azul,-0.080399301,1.455847103
165,s(age):sitenameAzul,TPRS,sitename,0.716547166,0.398167055,1176.172727,Azul,-0.063845922,1.496940255
166,s(age):sitenameAzul,TPRS,sitename,0.742850338,0.405253449,1195.596364,Azul,-0.051431827,1.537132502
167,s(age):sitenameAzul,TPRS,sitename,0.765031205,0.409552987,1215.02,Azul,-0.037677899,1.567740308
168,s(age):sitenameAzul,TPRS,sitename,0.786083282,0.418560952,1234.443636,Azul,-0.03428111,1.606447674
169,s(age):sitenameAzul,TPRS,sitename,0.804677818,0.427781835,1253.867273,Azul,-0.033759171,1.643114807
170,s(age):sitenameAzul,TPRS,sitename,0.822607511,0.441245791,1273.290909,Azul,-0.042218346,1.687433369
171,s(age):sitenameAzul,TPRS,sitename,0.839226046,0.452319377,1292.714545,Azul,-0.047303641,1.725755734
172,s(age):sitenameAzul,TPRS,sitename,0.855050517,0.461756148,1312.138182,Azul,-0.049974901,1.760075936
173,s(age):sitenameAzul,TPRS,sitename,0.870672951,0.471356573,1331.561818,Azul,-0.053168956,1.794514858
174,s(age):sitenameAzul,TPRS,sitename,0.886169263,0.476943559,1350.985455,Azul,-0.048622935,1.82096146
175,s(age):sitenameAzul,TPRS,sitename,0.901665574,0.488020539,1370.409091,Azul,-0.054837105,1.858168254
176,s(age):sitenameAzul,TPRS,sitename,0.917250737,0.501434087,1389.832727,Azul,-0.065542014,1.900043488
177,s(age):sitenameAzul,TPRS,sitename,0.93294467,0.516838955,1409.256364,Azul,-0.080041068,1.945930408
178,s(age):sitenameAzul,TPRS,sitename,0.948800873,0.531379828,1428.68,Azul,-0.092684452,1.990286198
179,s(age):sitenameAzul,TPRS,sitename,0.964484533,0.547324998,1448.103636,Azul,-0.10825275,2.037221817
180,s(age):sitenameAzul,TPRS,sitename,0.979579024,0.562919905,1467.527273,Azul,-0.123723717,2.082881764
181,s(age):sitenameAzul,TPRS,sitename,0.993791528,0.578507027,1486.950909,Azul,-0.14006141,2.127644466
182,s(age):sitenameAzul,TPRS,sitename,1.007135941,0.595261434,1506.374545,Azul,-0.159555031,2.173826914
183,s(age):sitenameAzul,TPRS,sitename,1.019336766,0.61245543,1525.798182,Azul,-0.18105382,2.219727352
184,s(age):sitenameAzul,TPRS,sitename,1.028956853,0.626423779,1545.221818,Azul,-0.198811192,2.256724899
185,s(age):sitenameAzul,TPRS,sitename,1.035184439,0.63607259,1564.645455,Azul,-0.21149493,2.281863808
186,s(age):sitenameAzul,TPRS,sitename,1.039712156,0.646012327,1584.069091,Azul,-0.226448738,2.30587305
187,s(age):sitenameAzul,TPRS,sitename,1.043553946,0.658689379,1603.492727,Azul,-0.247453514,2.334561406
188,s(age):sitenameAzul,TPRS,sitename,1.046681096,0.674020087,1622.916364,Azul,-0.274374,2.367736192
189,s(age):sitenameAzul,TPRS,sitename,1.049808247,0.693036429,1642.34,Azul,-0.308518195,2.408134688
190,s(age):sitenameAzul,TPRS,sitename,1.052571278,0.714480828,1661.763636,Azul,-0.347785413,2.45292797
191,s(age):sitenameAzul,TPRS,sitename,1.053548312,0.73389201,1681.187273,Azul,-0.384853596,2.491950221
192,s(age):sitenameAzul,TPRS,sitename,1.054180025,0.753866474,1700.610909,Azul,-0.423371114,2.531731163
193,s(age):sitenameAzul,TPRS,sitename,1.054353723,0.773240271,1720.034545,Azul,-0.46116936,2.569876806
194,s(age):sitenameAzul,TPRS,sitename,1.053749381,0.786124494,1739.458182,Azul,-0.487026316,2.594525078
195,s(age):sitenameAzul,TPRS,sitename,1.052994028,0.797365228,1758.881818,Azul,-0.5098131,2.615801157
196,s(age):sitenameAzul,TPRS,sitename,1.052138777,0.804021943,1778.305455,Azul,-0.523715275,2.627992829
197,s(age):sitenameAzul,TPRS,sitename,1.051283526,0.810838273,1797.729091,Azul,-0.537930285,2.640497337
198,s(age):sitenameAzul,TPRS,sitename,1.050428275,0.817810224,1817.152727,Azul,-0.55245031,2.65330686
199,s(age):sitenameAzul,TPRS,sitename,1.049573024,0.824933852,1836.576364,Azul,-0.567267615,2.666413663
200,s(age):sitenameAzul,TPRS,sitename,1.048717772,0.832205261,1856,Azul,-0.582374567,2.679810112
201,s(age):sitenameCaldeirão,TPRS,sitename,0.074488697,0.118723273,-66.94,Caldeirão,-0.158204641,0.307182036
202,s(age):sitenameCaldeirão,TPRS,sitename,0.075582783,0.116877155,-47.51636364,Caldeirão,-0.153492231,0.304657798
203,s(age):sitenameCaldeirão,TPRS,sitename,0.079086172,0.112130381,-28.09272727,Caldeirão,-0.140685336,0.298857681
204,s(age):sitenameCaldeirão,TPRS,sitename,0.084343345,0.107552112,-8.669090909,Caldeirão,-0.126454921,0.295141612
205,s(age):sitenameCaldeirão,TPRS,sitename,0.091300125,0.10462307,10.75454545,Caldeirão,-0.113757324,0.296357573
206,s(age):sitenameCaldeirão,TPRS,sitename,0.10001368,0.102248968,30.17818182,Caldeirão,-0.100390614,0.300417974
207,s(age):sitenameCaldeirão,TPRS,sitename,0.109237177,0.099149962,49.60181818,Caldeirão,-0.085093178,0.303567531
208,s(age):sitenameCaldeirão,TPRS,sitename,0.118100424,0.096628314,69.02545455,Caldeirão,-0.071287592,0.307488439
209,s(age):sitenameCaldeirão,TPRS,sitename,0.125725426,0.094796755,88.44909091,Caldeirão,-0.060072801,0.311523652
210,s(age):sitenameCaldeirão,TPRS,sitename,0.131884153,0.093421016,107.8727273,Caldeirão,-0.051217673,0.314985979
211,s(age):sitenameCaldeirão,TPRS,sitename,0.136824654,0.091917926,127.2963636,Caldeirão,-0.04333117,0.316980479
212,s(age):sitenameCaldeirão,TPRS,sitename,0.141138157,0.090325176,146.72,Caldeirão,-0.035895935,0.318172248
213,s(age):sitenameCaldeirão,TPRS,sitename,0.145374756,0.089309097,166.1436364,Caldeirão,-0.029667857,0.32041737
214,s(age):sitenameCaldeirão,TPRS,sitename,0.149843147,0.087666801,185.5672727,Caldeirão,-0.021980625,0.321666919
215,s(age):sitenameCaldeirão,TPRS,sitename,0.154383111,0.08658091,204.9909091,Caldeirão,-0.015312355,0.324078576
216,s(age):sitenameCaldeirão,TPRS,sitename,0.158470914,0.085419622,224.4145455,Caldeirão,-0.008948469,0.325890297
217,s(age):sitenameCaldeirão,TPRS,sitename,0.161512431,0.08351633,243.8381818,Caldeirão,-0.002176568,0.325201429
218,s(age):sitenameCaldeirão,TPRS,sitename,0.162927875,0.081575361,263.2618182,Caldeirão,0.003043106,0.322812644
219,s(age):sitenameCaldeirão,TPRS,sitename,0.161430504,0.079804063,282.6854545,Caldeirão,0.005017414,0.317843593
220,s(age):sitenameCaldeirão,TPRS,sitename,0.155862161,0.078139087,302.1090909,Caldeirão,0.002712365,0.309011957
221,s(age):sitenameCaldeirão,TPRS,sitename,0.14593429,0.076864837,321.5327273,Caldeirão,-0.004718022,0.296586601
222,s(age):sitenameCaldeirão,TPRS,sitename,0.132312719,0.075767025,340.9563636,Caldeirão,-0.016187922,0.280813359
223,s(age):sitenameCaldeirão,TPRS,sitename,0.114692291,0.074008253,360.38,Caldeirão,-0.030361219,0.259745801
224,s(age):sitenameCaldeirão,TPRS,sitename,0.095849229,0.072691465,379.8036364,Caldeirão,-0.046623425,0.238321883
225,s(age):sitenameCaldeirão,TPRS,sitename,0.076655469,0.071903393,399.2272727,Caldeirão,-0.064272591,0.21758353
226,s(age):sitenameCaldeirão,TPRS,sitename,0.058453117,0.07158116,418.6509091,Caldeirão,-0.081843378,0.198749612
227,s(age):sitenameCaldeirão,TPRS,sitename,0.042840297,0.071462037,438.0745455,Caldeirão,-0.097222723,0.182903316
228,s(age):sitenameCaldeirão,TPRS,sitename,0.031584684,0.070886926,457.4981818,Caldeirão,-0.107351138,0.170520506
229,s(age):sitenameCaldeirão,TPRS,sitename,0.024841808,0.069718324,476.9218182,Caldeirão,-0.111803597,0.161487213
230,s(age):sitenameCaldeirão,TPRS,sitename,0.022522451,0.067902049,496.3454545,Caldeirão,-0.110563119,0.155608021
231,s(age):sitenameCaldeirão,TPRS,sitename,0.021955072,0.067132721,515.7690909,Caldeirão,-0.109622644,0.153532787
232,s(age):sitenameCaldeirão,TPRS,sitename,0.022087308,0.066405776,535.1927273,Caldeirão,-0.108065622,0.152240237
233,s(age):sitenameCaldeirão,TPRS,sitename,0.021100113,0.066061555,554.6163636,Caldeirão,-0.108378156,0.150578382
234,s(age):sitenameCaldeirão,TPRS,sitename,0.016973252,0.06491408,574.04,Caldeirão,-0.110256007,0.144202512
235,s(age):sitenameCaldeirão,TPRS,sitename,0.00869329,0.063286313,593.4636364,Caldeirão,-0.115345605,0.132732184
236,s(age):sitenameCaldeirão,TPRS,sitename,-0.003520233,0.061905044,612.8872727,Caldeirão,-0.124851891,0.117811424
237,s(age):sitenameCaldeirão,TPRS,sitename,-0.020285033,0.060814246,632.3109091,Caldeirão,-0.139478764,0.098908699
238,s(age):sitenameCaldeirão,TPRS,sitename,-0.038414415,0.06201661,651.7345455,Caldeirão,-0.159964737,0.083135907
239,s(age):sitenameCaldeirão,TPRS,sitename,-0.055263366,0.063331005,671.1581818,Caldeirão,-0.179389855,0.068863123
240,s(age):sitenameCaldeirão,TPRS,sitename,-0.067639121,0.062864008,690.5818182,Caldeirão,-0.190850314,0.055572071
241,s(age):sitenameCaldeirão,TPRS,sitename,-0.076421236,0.063134628,710.0054545,Caldeirão,-0.200162834,0.047320361
242,s(age):sitenameCaldeirão,TPRS,sitename,-0.083165695,0.065107423,729.4290909,Caldeirão,-0.210773898,0.044442509
