full_name,genus,guild.code
Achnanthes cf. acares,Achnanthes,high_profile
Achnanthes coarctata,Achnanthes,high_profile
Achnanthes minuscula,Achnanthes,high_profile
Achnanthes spp.,Achnanthes,high_profile
Achnanthidium aff. affine,Achnanthidium,low_profile
Achnthidium aff. atomoides,Achnanthidium,low_profile
Achnthidium aff. gracillum,Achnanthidium,low_profile
Achnthidium aff. jackii,Achnanthidium,low_profile
Achnthidium aff. rivulare,Achnanthidium,low_profile
Achnanthidium affine,Achnanthidium,low_profile
Achnanthidium alteragracillima,Achnanthidium,low_profile
Achnanthidium caledonicum,Achnanthidium,low_profile
Achnanthidium cf. pfisteri,Achnanthidium,low_profile
Achnanthidium cf. rosenstockii,Achnanthidium,low_profile
Achnanthidium helveticum,Achnanthidium,low_profile
Achnanthidium minutissimum,Achnanthidium,low_profile
Achnanthidium saprophilum,Achnanthidium,low_profile
Achnthidium scotica,Achnanthidium,low_profile
Achnanthidium sp.1,Achnanthidium,low_profile
Achnanthidium sp.4,Achnanthidium,low_profile
Achnanthidium sp.,Achnanthidium,low_profile
Adlafia briophyla,Adlafia,motile
Adlafia minuscula,Adlafia,motile
Adlafia minuscula var. muralis,Adlafia,motile
Adlafia sp.,Adlafia,motile
Adlafia sp.1,Adlafia,motile
Krasskella kriegeriana,Krasskella,high_profile
Amphora cf. libyca,Amphora,low_profile
Amphora cimbrica,Amphora,low_profile
Amphora inariensis,Amphora,low_profile
Amphora lange-bertalotii var. tenuis,Amphora,low_profile
Amphora libyca,Amphora,low_profile
Amphora montana,Amphora,low_profile
Amphora oligotraphenta,Amphora,low_profile
Amphora ovalis,Amphora,low_profile
Amphora pediculus,Amphora,low_profile
Amphora spp.,Amphora,low_profile
Amphora veneta,Amphora,low_profile
Asterionella formosa,Asterionella,euplanktonic
Aulacoseira ambigua,Aulacoseira,euplanktonic
Aulacoseira granulata,Aulacoseira,euplanktonic
Aulacoseira granulata var. angustissima,Aulacoseira,euplanktonic
Aulacoseira alpigena,Aulacoseira,euplanktonic
Aulacoseira crassipunctata,Aulacoseira,euplanktonic
Aulacoseira distans,Aulacoseira,euplanktonic
Aulacoseira italica,Aulacoseira,euplanktonic
Aulacoseira nivalis,Aulacoseira,euplanktonic
Aulacoseira nygaardi,Aulacoseira,euplanktonic
Aulacoseira perglabra,Aulacoseira,euplanktonic
Aulacoseira pusilla,Aulacoseira,euplanktonic
Aulacoseira spp.,Aulacoseira,euplanktonic
Aulacoseira subartica,Aulacoseira,euplanktonic
Bacillaria paxillifera,Bacillaria,motile
Brachysira aff. intermedia,Brachysira,low_profile
Brachysira aff. neglectissima,Brachysira,low_profile
Brachysira brebissonii,Brachysira,low_profile
Brachysira cf. zellensis,Brachysira,low_profile
Brachysira neglectissima,Brachysira,low_profile
Brachysira neoexilis,Brachysira,low_profile
Brachysira procera,Brachysira,low_profile
Brachysira serians,Brachysira,low_profile
Brachysira spp.,Brachysira,low_profile
Caloneis aerophila,Caloneis,motile
Caloneis aff. westii,Caloneis,motile
Caloneis bacillum,Caloneis,motile
Caloneis hyalina,Caloneis,motile
Caloneis leptosoma,Caloneis,motile
Caloneis molaris,Caloneis,motile
Caloneis silicula,Caloneis,motile
Caloneis sp.1,Caloneis,motile
Caloneis spp.,Caloneis,motile
Caloneis tenuis,Caloneis,motile
Caloneis undosa,Caloneis,motile
Caloneis undulata,Caloneis,motile
Caloneis vasileyevae,Caloneis,motile
Campylodiscus hibernicus,Campylodiscus,motile
Cavinula cocconeiformis,Cavinula,motile
Cavinula lapidosa,Cavinula,motile
Cavinula sp_C,Cavinula,motile
Cavinula variostriata,Cavinula,motile
Cavinula variostriata,Cavinula,motile
Chamaepinnularia begeri,Chamaepinnularia,motile
Chamaepinnularia evanida,Chamaepinnularia,motile
Chamaepinnularia cf. obsoleta,Chamaepinnularia,motile
Chamaepinnularia evanida,Chamaepinnularia,motile
Chamaepinnularia hassiaca,Chamaepinnularia,motile
Chamaepinnularia mediocris,Chamaepinnularia,motile
Chamaepinnularia muscicola,Chamaepinnularia,motile
Chamaepinnularia obsoleta,Chamaepinnularia,motile
Chamaepinnularia soehrensis,Chamaepinnularia,motile
Chamaepinnularia sp.,Chamaepinnularia,motile
Chamaepinnularia sp.1,Chamaepinnularia,motile
Chamaepinnularia submuscicola,Chamaepinnularia,motile
Cocconeis euglypta,Cocconeis,low_profile
Cocconeis lineata,Cocconeis,low_profile
Cocconeis pediculus,Cocconeis,low_profile
Cocconeis placentula,Cocconeis,low_profile
Cocconeis sp.,Cocconeis,low_profile
Cosmioneis pusilla,Cosmioneis,motile
Craticula molesta,Craticula,motile
Craticula molestiformis,Craticula,motile
Craticula sp.,Craticula,motile
Craticula subminuscula,Craticula,motile
Craticula submolesta,Craticula,motile
Cyclotella atomus,Cyclotella,euplanktonic
Cyclotella iris,Cyclotella,euplanktonic
Cyclotella meneghiniana,Cyclotella,euplanktonic
Cyclotella ocellata,Cyclotella,euplanktonic
Cyclotella sp.,Cyclotella,euplanktonic
Cyclotella sp1,Cyclotella,euplanktonic
Cymbella aff. cymbiformis,Cymbella,high_profile
Cymbella neocistula,Cymbella,high_profile
Cymbella sp.,Cymbella,high_profile
Cymbella sp.1,Cymbella,high_profile
Cymbella variostriata,Cymbella,high_profile
Cymbellonitzschia diluviana,Cymbellonitzschia,motile
Denticula subtilis,Denticula,motile
Diadesmis aerophila,Diadesmis,high_profile
Diadesmis contenta,Diadesmis,high_profile
