age_ce,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,Rmean,Rmed
1,-0.6695543,-0.303244,-0.4672428,-1.3144248,-0.37,-0.5733001,-0.6859305,0,-0.2256312,-0.3797747,-0.4356049,,-0.35548,-0.8625825,-0.4304858,-0.5052325,-0.4330453
2,-0.4481153,-0.5329932,-0.5564496,-1.0586938,-0.219,-0.4081509,-0.7879937,-0.01,-0.2179594,0.19477598,-0.196139,,-0.53469,-0.9200161,0.06853101,-0.401921,-0.4281331
3,-0.5194384,-0.4889376,-0.5729364,-1.226653,-0.154,-0.4552682,-0.8248907,-0.15,-0.3263389,-0.144989,-0.2997728,,-0.62852,-0.7937336,-0.0853046,-0.4764845,-0.4721029
4,-0.231091,-0.3125828,-0.5056739,-1.4960904,-0.107,-0.382701,-0.7234265,-0.03,-0.1810194,0.03161141,-0.2503853,,-0.0066227,-1.0923591,0.02487132,-0.3758907,-0.2407381
5,-0.5855165,-0.314294,-0.5584244,-1.0388419,-0.08,-0.5666864,-0.6417567,-0.2,0.03536984,-0.0142772,-0.2415956,,-0.10221,-0.9679827,-0.6511083,-0.4233803,-0.4363592
6,-0.5612984,-0.3087262,-0.5754548,-1.439934,0.291,-0.6038946,-0.6736085,0.08,-0.1535149,-0.6475851,-0.3830865,,-0.71089,-1.0462795,-0.2950451,-0.5020227,-0.5683766
7,-0.1029847,-0.0979868,-0.1583019,-0.7820247,0.21,-0.3437885,-0.5011854,0.12,0.41628052,0.42526214,0.08368122,,0.0086493,-0.8872289,-0.0116931,-0.1158086,-0.0548399
8,-0.5344702,-0.3375886,-0.3596357,-1.307587,-0.094,-0.4806978,-0.6940911,0.82,0.09155247,-0.2219261,-0.1529024,,-0.46443,-1.181871,-0.0627425,-0.3557421,-0.3486121
9,-0.588258,-0.5265026,-0.5445847,-1.4480549,-0.141,-0.4947064,-0.8106571,1.1,-0.1374659,-0.3339589,-0.2098888,,-0.61953,-1.1871793,-0.0992882,-0.4315053,-0.5106045
10,-0.8921293,-0.5304921,-0.5264096,-1.0986754,-0.085,-0.5573217,-0.7435834,1.09,-0.1805394,-0.5267217,-0.3209601,,-0.53032,-0.8121507,-0.1685899,-0.4202067,-0.5285209
11,-0.6547584,-0.6361195,-0.5490274,-0.6683391,-0.32,-0.5648238,-0.7459605,1.21,-0.4249122,-0.4600769,-0.3473256,,-0.42307,-0.8908278,-0.3079962,-0.4130884,-0.5045521
12,-0.5401497,-0.599422,-0.8492346,-2.2695581,-0.393,-0.4911098,-0.8481229,0.33,-0.2581197,-0.579978,-0.4799593,,-0.7243,-0.9900864,-0.3326525,-0.6446924,-0.5600639
13,-0.2172402,-0.4834436,-0.5408869,-1.0599169,-0.105,-0.4077484,-0.7214964,-0.3,-0.050961,0.07189416,-0.0734432,,-0.28463,-1.1039485,-0.0200614,-0.3783487,-0.292315
14,-0.0085304,-0.5103765,-0.5627177,-0.9325822,-0.25,-0.3128504,-0.6909288,-0.16,0.03188628,-0.0352576,-0.1014187,,-0.094051,-0.9919812,-0.0546432,-0.333818,-0.205
15,-0.4642437,-0.5262543,-0.7867584,-1.4239643,-0.125,-0.4647849,-0.759411,-0.47,0.02492082,-0.6811115,-0.2120927,,-0.53885,-1.0381184,0.04907442,-0.5297567,-0.4981272
16,-0.5117851,-0.7118544,-0.6843694,-1.5377834,0.236,-0.4038913,-0.9730531,-0.6,-0.470634,-0.4703573,-0.2209907,,-1.0106,-1.18406,0.15710281,-0.5990197,-0.5558926
17,-0.1712824,-0.1559099,-0.4707171,-1.0139205,-0.06,-0.1919934,-0.633939,-0.62,0.32602644,0.39595649,0.13650594,,0.20876,-1.1473924,0.34616338,-0.2179816,-0.1635962
18,-0.4625098,-0.4079242,-0.5402933,-1.4647229,-0.251,-0.3672249,-0.8102568,-0.44,-0.056394,-0.0292279,-0.1398818,,-0.21574,-1.0722645,0.10087223,-0.4397549,-0.3875746
19,-0.3248767,-0.4523826,-0.3921277,-1.1263601,-0.118,-0.2347916,-0.8046484,-0.49,-0.1422277,0.20966437,-0.0735601,,0.0099659,-0.9437577,0.20883442,-0.3338763,-0.2798342
20,-0.4807287,-0.6181082,-0.7171633,-0.9270562,-0.126,-0.3787319,-0.8585706,-0.29,-0.5031065,-0.5264592,-0.3774108,,-0.32138,-1.1172913,-0.0319351,-0.5195673,-0.4919176
21,-0.7387475,-0.5801311,-1.0915683,-1.8898445,-0.272,-0.5262739,-0.9236408,-0.02,-0.5748735,-1.3253611,-0.6150716,,-0.91186,-0.9513182,-0.1469659,-0.7548326,-0.6769095
22,-0.5541271,-0.6639061,-0.6344461,-1.1218054,-0.115,-0.3519472,-0.8545103,-0.29,-0.4860289,-0.362777,-0.3545249,,-0.33107,-0.9098369,-0.019988,-0.5035691,-0.4244029
23,-0.5830344,-0.5655584,-0.7884668,-0.8929539,-0.169,-0.3104516,-0.7648817,-0.13,-0.2537512,-0.2746974,-0.3255987,,-0.21968,-0.8347944,0.16727217,-0.4246855,-0.3180251
24,-0.755471,-0.8601899,-0.7783652,-1.1569745,0.092,-0.398768,-0.9331088,-0.16,-0.6533008,-0.5983955,-0.4664243,,-0.7272,-1.0790524,0.01366965,-0.6043986,-0.6902504
