sitename,depth,age,taxa,value,elementtype,ecologicalgroup,group,ID
Azul,36.89257924,-9.76,Alnus,1,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Amaranthaceae,1,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Anthoceros laevis,2,spore,UPBR,Hornwort,Azul_-9.76
Azul,36.89257924,-9.76,Anthoceros punctatus,21,spore,UPBR,Hornwort,Azul_-9.76
Azul,36.89257924,-9.76,Apiaceae,2,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Asteraceae,7,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Calluna vulgaris,11,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Cryptomeria,57,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Culcita macrocarpa,20,spore,UPBR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Dryopteris,7,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Ericaceae,34,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Galium,1,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Huperzia,5,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Hypericum foliosum,4,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Myrica faya,44,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Myriophyllum,31,pollen,AQVP,Aquatic,Azul_-9.76
Azul,36.89257924,-9.76,Myrsine africana,41,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Pinus pinaster,24,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Plantaginaceae,2,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Plantago,10,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Poaceae,67,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Polypodium,1,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Potentilla,3,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Pteridium aquilinum,34,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Pteris incompleta,20,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Rubus,4,pollen,TRSH,Shrub,Azul_-9.76
Azul,36.89257924,-9.76,Rumex,5,pollen,UPHE,Herb,Azul_-9.76
Azul,36.89257924,-9.76,Selaginella kraussiana,17,spore,VACR,Fern,Azul_-9.76
Azul,36.89257924,-9.76,Vaccinium,3,pollen,TRSH,Tree,Azul_-9.76
Azul,36.89257924,-9.76,Zea mays,2,pollen,UPHE,Herb,Azul_-9.76
Azul,38.74205042,-1.35,Alnus,4,pollen,TRSH,Tree,Azul_-1.35
Azul,38.74205042,-1.35,Anthoceros punctatus,4,spore,UPBR,Hornwort,Azul_-1.35
Azul,38.74205042,-1.35,Asteraceae,2,pollen,UPHE,Herb,Azul_-1.35
Azul,38.74205042,-1.35,Betula,2,pollen,TRSH,Tree,Azul_-1.35
