sitename,depth,age,age_ce,taxa,value,elementtype,ecologicalgroup,group
Caldeirão Connor,290,11435,-9485,Adiantum,1,spore,VACR,Fern
Caldeirão Connor,160,428,1522,Alnus alnobetula,1,pollen,TRSH,Tree
Caldeirão Connor,230,4553,-2603,Alnus alnobetula,1,pollen,TRSH,Tree
Caldeirão Connor,70,123,1827,Ambrosia,1,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Ambrosia,1,pollen,UPHE,Herb
Caldeirão Connor,190,2724,-774,Ambrosia,1,pollen,UPHE,Herb
Caldeirão Connor,215,4093,-2143,Ambrosia,1,pollen,UPHE,Herb
Caldeirão Connor,50,66,1884,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,60,94,1856,Ammi,8,pollen,UPHE,Herb
Caldeirão Connor,70,123,1827,Ammi,8,pollen,UPHE,Herb
Caldeirão Connor,75,140,1810,Ammi,4,pollen,UPHE,Herb
Caldeirão Connor,80,156,1794,Ammi,10,pollen,UPHE,Herb
Caldeirão Connor,90,190,1760,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,95,208,1742,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,105,242,1708,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,115,276,1674,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,125,309,1641,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,130,327,1623,Ammi,2,pollen,UPHE,Herb
Caldeirão Connor,135,343,1607,Ammi,2,pollen,UPHE,Herb
Caldeirão Connor,140,360,1590,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,145,378,1572,Ammi,2,pollen,UPHE,Herb
Caldeirão Connor,160,428,1522,Ammi,2,pollen,UPHE,Herb
Caldeirão Connor,165,445,1505,Ammi,4,pollen,UPHE,Herb
Caldeirão Connor,175,479,1471,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,180,501,1449,Ammi,4,pollen,UPHE,Herb
Caldeirão Connor,185,526,1424,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,190,2724,-774,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,195,3145,-1195,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,210,3941,-1991,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,215,4093,-2143,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,220,4242,-2292,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,230,4553,-2603,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,235,4713,-2763,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,250,5188,-3238,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,255,5341,-3391,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,260,5440,-3490,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,265,5557,-3607,Ammi,8,pollen,UPHE,Herb
Caldeirão Connor,270,5832,-3882,Ammi,33,pollen,UPHE,Herb
Caldeirão Connor,277,8032,-6082,Ammi,50,pollen,UPHE,Herb
Caldeirão Connor,280,9532,-7582,Ammi,38,pollen,UPHE,Herb
Caldeirão Connor,285,11032,-9082,Ammi,22,pollen,UPHE,Herb
Caldeirão Connor,290,11435,-9485,Ammi,5,pollen,UPHE,Herb
Caldeirão Connor,295,11823,-9873,Ammi,1,pollen,UPHE,Herb
Caldeirão Connor,297,11979,-10029,Ammi,1,pollen,UPHE,Herb
