depth_cm,age_calyrBP,SST-DTF,age_ce,,,No.,Depth,Age (cal.BP),Summer SST,Winter SST
0.5,75,6.5,1875,,,1,0.5,1.312849,6.0705,2.8433
2.5,77,6.7,1873,,,2,2.5,6.564246,6.8495,2.3526
5.5,81,7.1,1869,,,3,5.5,14.44134,7.0073,2.8415
7.5,84,7.4,1866,,,4,7.5,19.69274,7.3879,2.3653
10.5,88,6.3,1862,,,5,10.5,27.56983,5.8513,2.9411
12.5,90,6.7,1860,,,6,15.5,40.69832,6.5327,1.7717
15.5,94,6.3,1856,,,7,20.5,53.82682,6.5746,2.2556
17.5,97,7.4,1853,,,8,25.5,66.95531,7.4927,3.0265
20.5,101,6.4,1849,,,9,30.5,80.0838,7.1984,2.3736
22.5,103,6.7,1847,,,10,35.5,93.21229,7.0789,2.5515
25.5,107,7.1,1843,,,11,40.5,106.3408,5.5579,2.2869
27.5,110,6.9,1840,,,12,45.5,119.4693,6.5524,1.8143
30.5,114,7.2,1836,,,13,50.5,132.5978,6.3,2.9062
32.5,117,7.1,1833,,,14,55.5,145.7263,7.3933,2.4016
35.5,120,7.1,1830,,,15,60.5,158.8548,7.0554,2.0637
37.5,123,6.8,1827,,,16,65.5,171.9832,7.2154,1.4731
40.5,127,5.8,1823,,,17,70.5,185.1117,5.7278,2.9934
42.5,130,6.7,1820,,,18,75.5,198.2402,7.3543,2.1236
45.5,133,6.5,1817,,,19,80.5,211.3687,7.2757,2.9177
47.5,136,7.1,1814,,,20,85.5,224.4972,7.0237,2.501
50.5,140,6.5,1810,,,21,90.5,237.6257,7.0936,2.2267
52.5,143,7,1807,,,22,95.5,250.7542,7.8395,2.9341
55.5,147,7,1803,,,23,100.5,263.8827,7.0945,2.1229
57.5,149,7.3,1801,,,24,105.5,277.0112,6.5663,2.0134
60.5,153,6.8,1797,,,25,110.5,290.1397,7.2932,2.4443
62.5,157,7,1793,,,26,115.5,303.2682,6.7329,2.3274
65.5,163,6.8,1787,,,27,120.5,316.3966,6.4874,2.2572
67.5,167,7.2,1783,,,28,125.5,329.5251,6.6389,2.1079
70.5,173,6.3,1777,,,29,130.5,342.6536,6.1653,2.7604
72.5,177,6.9,1773,,,30,135.5,355.7821,6.9067,2.1794
75.5,183,7.3,1767,,,31,140.5,368.9106,6.993,2.8836
77.5,187,6.8,1763,,,32,145.5,382.0391,6.9085,3.7672
80.5,193,7.2,1757,,,33,150.5,395.1676,6.7351,2.9632
82.5,196,7.1,1754,,,,,,,
85.5,202,7.2,1748,,,,,,,
87.5,206,7.1,1744,,,,,,,
90.5,212,6.9,1738,,,,,,,
92.5,216,7.2,1734,,,,,,,
95.5,222,8,1728,,,,,,,
97.5,226,7.2,1724,,,,,,,
100.5,232,7.3,1718,,,,,,,
102.5,238,7.2,1712,,,,,,,
105.5,247,6.6,1703,,,,,,,
107.5,253,7.3,1697,,,,,,,
110.5,262,7.3,1688,,,,,,,
112.5,268,7,1682,,,,,,,
115.5,277,7.1,1673,,,,,,,
117.5,283,6.5,1667,,,,,,,
120.5,292,6.9,1658,,,,,,,
122.5,298,6.8,1652,,,,,,,
125.5,307,6.6,1643,,,,,,,
127.5,314,6.9,1636,,,,,,,
130.5,323,6.6,1627,,,,,,,
132.5,329,6.8,1621,,,,,,,
135.5,338,6.9,1612,,,,,,,
137.5,344,7.1,1606,,,,,,,
140.5,353,7,1597,,,,,,,
142.5,359,7.4,1591,,,,,,,
145.5,368,7.2,1582,,,,,,,
147.5,374,7.3,1576,,,,,,,
150.5,383,6.9,1567,,,,,,,
152.5,389,6.5,1561,,,,,,,
155.5,399,6.9,1551,,,,,,,
