series,run_id,start_ce,end_ce,n_points,mean_abs_deriv,peak_abs_deriv,peak_ce,direction,period_id,lake,group
Producers,1,1486.1262626262626,1566.5151515151515,12,0.00275972064996714,0.003037720489623121,1529.9747474747473,increase,1,Azul,Producers
Producers,3,1727.2929292929293,1866.1464646464647,20,0.0052949533964269605,0.007359887758774864,1807.681818181818,increase,2,Azul,Producers
Producers,5,1917.3030303030303,2005,13,0.0062037627307344936,0.009019629318485132,2005,increase,3,Azul,Producers
Consumers,1,1740.118383838384,1959.16,33,0.005072820440297465,0.005750533619831799,1877.019393939394,increase,1,Azul,Consumers
Producers,5,1139.0788888888892,1966.37,23,0.0017295001529434376,0.0023114364130158425,1515.1203030303031,increase,3,Caldeirao,Producers
Consumers,5,1152.086666666667,1983.46,23,0.0013718522369121071,0.0017400902369788277,1529.9836363636364,increase,3,Caldeirao,Consumers
Producers,5,1634.151515151515,1729.3636363636365,4,4.084783785352739e-4,4.842837515175328e-4,1729.3636363636365,increase,3,Caveiro,Producers
Consumers,3,1409.121212121212,1650.6565656565654,9,0.0013768771010312598,0.0016481500887391462,1650.6565656565654,increase,2,Caveiro,Consumers
Producers,1,1436.1152684848482,1525.7380409090908,16,0.004296653314692884,0.004838485080613772,1436.1152684848482,decrease,1,Empadadas Norte,Producers
Producers,3,1746.8075462222223,1824.4806156565655,14,0.003202876928863261,0.0034751876540130926,1794.606358181818,increase,2,Empadadas Norte,Producers
Producers,5,1926.053091070707,2009.701012,15,0.01246123359609814,0.01853058558721589,2009.701012,increase,3,Empadadas Norte,Producers
Consumers,1,1778.635104828283,1851.603286040404,13,0.004596076377418759,0.00533598535644229,1815.1191954343435,increase,1,Empadadas Norte,Consumers
Consumers,3,1930.6521490202022,2009.701012,14,0.014832929745985055,0.02162382570459021,2009.701012,increase,2,Empadadas Norte,Consumers
Producers,1,1230.2549494949494,1731.0850505050505,48,0.003704868005691687,0.0047375180249025406,1379.4383838383837,increase,1,Funda,Producers
Consumers,1,1443.3741414141414,1688.4612121212122,24,0.0071939534160092794,0.00866055717815472,1581.9016161616162,increase,1,Funda,Consumers
Producers,1,1426,1502.949494949495,14,0.008385695717808271,0.01051069478605383,1426,increase,1,Ginjal,Producers
Producers,3,1716.0404040404042,1787.0707070707072,13,0.005722725756589066,0.006059815699886065,1751.5555555555557,increase,2,Ginjal,Producers
Producers,5,1929.1313131313132,2012,15,0.007772824918011215,0.009933384067990627,2012,increase,3,Ginjal,Producers
Consumers,3,1545.979797979798,1646.2626262626263,18,0.007558038974105614,0.010190018025182284,1593.171717171717,increase,1,Ginjal,Consumers
Consumers,5,1781.939393939394,1799.6363636363635,4,0.004337737293250132,0.004472469352934978,1793.7373737373737,increase,2,Ginjal,Consumers
Consumers,7,1864.5252525252524,1905.8181818181818,8,0.005004163081996423,0.00569439802388301,1888.121212121212,decrease,3,Ginjal,Consumers
Consumers,9,1941.2121212121212,2012,13,0.011999550865468039,0.01630506792165634,2012,increase,4,Ginjal,Consumers
Producers,5,998.2993939393941,1495.2866666666669,22,0.004069597810647099,0.005713064171868801,1211.2939393939396,increase,3,Peixinho,Producers
Producers,7,1731.9472727272728,1826.6115151515155,5,0.001247161839121766,0.0014465379670776381,1826.6115151515155,decrease,4,Peixinho,Producers
Consumers,1,1545.9927272727273,1879.4336363636362,16,6.537821894901036e-4,7.886895023498825e-4,1879.4336363636362,decrease,1,Peixinho,Consumers
Producers,1,1138.979797979798,1316.5959595959596,15,0.003784320524217066,0.004311440911971146,1215.1010101010102,decrease,1,Prata,Producers
Producers,3,1506.8989898989898,1595.7070707070707,8,0.0030950690822019724,0.0033727159338408706,1570.3333333333335,decrease,2,Prata,Producers
Producers,5,1697.2020202020203,1989,24,0.012337131163820174,0.0160583598875958,1989,increase,3,Prata,Producers
Consumers,1,1316.5959595959596,1989,54,0.0023004481454479875,0.0033679868766425865,1989,increase,1,Prata,Consumers
Producers,1,1951.5959595959596,2010,15,0.02267246969766982,0.03176761997260225,2010,increase,1,Santiago,Producers
Consumers,1,1851.4747474747476,1918.2222222222222,17,0.010393742263255967,0.014025404115668858,1884.848484848485,increase,1,Santiago,Consumers
Consumers,3,1964.111111111111,2010,12,0.011381738223852491,0.014721454139125095,2010,increase,2,Santiago,Consumers
