lake,group,n,first_onset_ce,first_onset_after_min_ce,first_end_after_min_ce,first_direction,first_direction_after_min,first_peak_ce,total_dca_change,n_significant_periods
Azul,Producers,107,1486.1262626262626,1486.1262626262626,1566.5151515151515,increase,increase,1529.9747474747473,1.878576902745744,3
Azul,Consumers,101,1740.118383838384,1740.118383838384,1959.16,increase,increase,1877.019393939394,1.3433481269523142,1
Caldeirao,Producers,70,-515.5033333333333,1139.0788888888892,1966.37,decrease,increase,-402.69090909090914,1.6292646022729917,3
Caldeirao,Consumers,64,-57.1836363636362,1152.086666666667,1983.46,increase,increase,131.7648484848487,1.357747723373917,3
Caveiro,Producers,97,-270.0909090909091,1634.151515151515,1729.3636363636365,decrease,increase,-143.1414141414142,1.6268619853811466,3
Caveiro,Consumers,62,-523.1616161616162,1409.121212121212,1650.6565656565654,increase,increase,-281.6262626262627,1.6315752337919422,2
Empadadas Norte,Producers,69,1436.1152684848482,1436.1152684848482,1525.7380409090908,decrease,decrease,1436.1152684848482,1.722556722594922,3
Empadadas Norte,Consumers,123,1778.635104828283,1778.635104828283,1851.603286040404,increase,increase,1815.1191954343435,1.7327590504225028,2
Funda,Producers,75,1230.2549494949494,1230.2549494949494,1731.0850505050505,increase,increase,1379.4383838383837,2.1884357369113685,1
Funda,Consumers,42,1443.3741414141414,1443.3741414141414,1688.4612121212122,increase,increase,1581.9016161616162,2.588696861703914,1
Ginjal,Producers,34,1426,1426,1502.949494949495,increase,increase,1426,2.2252536199899353,3
Ginjal,Consumers,89,1545.979797979798,1545.979797979798,1646.2626262626263,increase,increase,1593.171717171717,1.617572976050617,4
Peixinho,Producers,45,-43.00727272727272,998.2993939393941,1495.2866666666669,increase,increase,51.656969696969725,2.2457639519019503,4
Peixinho,Consumers,41,1545.9927272727273,1545.9927272727273,1879.4336363636362,decrease,decrease,1879.4336363636362,0.5122427258927388,1
Prata,Producers,60,1138.979797979798,1138.979797979798,1316.5959595959596,decrease,decrease,1215.1010101010102,3.702467351123814,3
Prata,Consumers,64,1316.5959595959596,1316.5959595959596,1989,increase,increase,1989,1.7234929112782933,1
Santiago,Producers,100,1951.5959595959596,1951.5959595959596,2010,increase,increase,2010,1.3963429534532608,1
Santiago,Consumers,143,1851.4747474747476,1851.4747474747476,1918.2222222222222,increase,increase,1884.848484848485,1.4852962805115504,2
